id,class,predict
1,0,0
2,0,3
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,1
9,0,0
10,0,1
11,0,0
12,0,0
13,0,0
14,0,0
15,0,3
16,0,1
17,0,0
18,0,0
19,0,0
20,0,1
21,1,1
22,1,4
23,1,2
24,1,4
25,1,0
26,1,1
27,1,1
28,1,1
29,1,1
30,1,1
31,1,0
32,1,0
33,1,3
34,1,3
35,1,1
36,1,1
37,1,1
38,1,0
39,1,3
40,1,0
41,2,2
42,2,2
43,2,2
44,2,2
45,2,3
46,2,4
47,2,1
48,2,4
49,2,0
50,2,2
51,2,1
52,2,0
53,2,4
54,2,4
55,2,2
56,2,1
57,2,0
58,2,2
59,2,0
60,2,1
61,3,0
62,3,0
63,3,3
64,3,3
65,3,1
66,3,3
67,3,0
68,3,0
69,3,0
70,3,0
71,3,0
72,3,3
73,3,0
74,3,1
75,3,1
76,3,3
77,3,0
78,3,1
79,3,3
80,3,0
81,4,4
82,4,4
83,4,0
84,4,4
85,4,0
86,4,0
87,4,4
88,4,0
89,4,0
90,4,4
91,4,4
92,4,0
93,4,4
94,4,4
95,4,4
96,4,4
97,4,4
98,4,4
99,4,4
100,4,3
