id,class,predict
1,0,0
2,0,0
3,0,0
4,0,0
5,0,1
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,1
18,0,0
19,0,0
20,0,0
21,1,1
22,1,1
23,1,1
24,1,1
25,1,1
26,1,0
27,1,4
28,1,1
29,1,0
30,1,1
31,1,2
32,1,1
33,1,0
34,1,0
35,1,0
36,1,1
37,1,1
38,1,1
39,1,4
40,1,0
41,2,4
42,2,0
43,2,4
44,2,1
45,2,0
46,2,0
47,2,0
48,2,0
49,2,0
50,2,0
51,2,4
52,2,2
53,2,0
54,2,2
55,2,2
56,2,2
57,2,1
58,2,0
59,2,2
60,2,0
61,3,0
62,3,1
63,3,3
64,3,3
65,3,3
66,3,1
67,3,0
68,3,0
69,3,4
70,3,1
71,3,1
72,3,3
73,3,0
74,3,3
75,3,0
76,3,3
77,3,3
78,3,0
79,3,0
80,3,3
81,4,4
82,4,2
83,4,4
84,4,0
85,4,4
86,4,4
87,4,4
88,4,0
89,4,0
90,4,0
91,4,4
92,4,0
93,4,3
94,4,4
95,4,4
96,4,0
97,4,4
98,4,0
99,4,4
100,4,0
