b,theta
0,1
1,0
2,1
3,1
4,1
5,0
6,4
7,2
8,3
9,3
10,4
11,2
12,0
13,0
14,4
15,2
16,1
17,0
18,1
19,1
20,1
21,0
22,4
23,2
24,3
25,3
26,4
27,2
28,0
29,0
30,4
31,2
32,1
33,0
34,1
35,1
36,1
37,0
38,4
39,2
40,3
41,3
42,4
43,2
44,0
45,0
46,4
47,2
48,1
49,0
50,1
51,1
52,1
53,0
54,4
55,2
56,3
57,3
58,4
59,2
60,0
61,0
62,4
63,2
64,1
65,0
66,1
67,1
68,1
69,0
70,4
71,2
72,3
73,3
74,4
75,2
76,0
77,0
78,4
79,2
80,1
81,0
82,1
83,1
84,1
85,0
86,4
87,2
88,3
89,3
90,4
91,2
92,0
93,0
94,4
95,2
96,1
97,0
98,1
99,1
100,1
101,0
102,4
103,2
104,3
105,3
106,4
107,2
108,0
109,0
110,4
111,2
112,1
113,0
114,1
115,1
116,1
117,0
118,4
119,2
120,3
121,3
122,4
123,2
124,0
125,0
126,4
127,2
128,1
129,0
130,1
131,1
132,1
133,0
134,4
135,2
136,3
137,3
138,4
139,2
140,0
141,0
142,4
143,2
144,1
145,0
146,1
147,1
148,1
149,0
150,4
151,2
152,3
153,3
154,4
155,2
156,0
157,0
158,4
159,2
160,1
161,0
162,1
163,1
164,1
165,0
166,4
167,2
168,3
169,3
170,4
171,2
172,0
173,0
174,4
175,2
176,1
177,0
178,1
179,1
180,1
181,0
182,4
183,2
184,3
185,3
186,4
187,2
188,0
189,0
190,4
191,2
